X_features	Y_features	association	p-values	q-values
host_removed_fraction	Salmonella enterica	-0.5291543380673782	1.163017876473466e-05	0.000945039076870954
host_removed_fraction	Shigella boydii	-0.27718450129654904	0.030567023922358372	0.15464462733516038
host_removed_fraction	Atlantibacter hermannii	-0.5650143151998253	2.0981754697236558e-06	0.0003604081154955697
host_removed_fraction	Pluralibacter gergoviae	-0.12637650962420394	0.33179192278652936	0.6569993276248655
host_removed_fraction	Kosakonia cowanii	-0.5002017286285626	4.04702239029012e-05	0.0021041415262926027
host_removed_fraction	Leclercia adecarboxylata	-0.34191118340027715	0.006997307715543675	0.05825365993860593
host_removed_fraction	Cronobacter malonaticus	-0.19690408841867962	0.12826277412924725	0.4071405485225462
host_removed_fraction	Cronobacter condimenti	-0.4603020803157963	0.00018955822056909583	0.005508147865358952
host_removed_fraction	Jejubacter calystegiae	-0.35615372676364215	0.004845665597543569	0.046111979073398486
host_removed_fraction	Yokenella regensburgei	-0.3590382925081212	0.004489073931815344	0.04379348185099513
host_removed_fraction	Morganella morganii	-0.2618329481220202	0.04151136949336435	0.19147154453601437
host_removed_fraction	Proteus mirabilis	-0.40354793170084197	0.0012599801604781925	0.019562849860056148
host_removed_fraction	Serratia plymuthica	-0.6109466325949481	1.7044591555413954e-07	5.6413440830967646e-05
host_removed_fraction	Serratia fonticola	-0.6385629494095377	3.078161710256972e-08	1.945581323501194e-05
host_removed_fraction	Serratia rubidaea	-0.6606596956530173	6.885830628252058e-09	7.786726802115035e-06
host_removed_fraction	Serratia sp. UGAL515B_01	-0.632372738758449	4.584421933074712e-08	2.4884242252729535e-05
host_removed_fraction	Serratia symbiotica	-0.630278867980476	5.235256444434571e-08	2.7324011519606586e-05
host_removed_fraction	Serratia liquefaciens	-0.5920941630688636	5.006569186946912e-07	0.00012131989976226714
host_removed_fraction	Yersinia pestis	-0.5033941899623814	3.546547392720298e-05	0.0019561979847707188
host_removed_fraction	Yersinia enterocolitica	-0.3912192290949651	0.001823407329654283	0.024452497408437787
host_removed_fraction	Pantoea agglomerans	-0.25600520982251174	0.04643454203654028	0.205922195241286
host_removed_fraction	Erwinia tracheiphila	-0.33288893571774447	0.008757369196614958	0.06694964353994669
